signal_type,window_id,split,model,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
atr_breakout,0,train,trade_filter,1.0,1.0,1.0,1.0,1.0,,,,,,,,
atr_breakout,0,train,regime_classifier,,0.9818181818181818,,,,0.6603759398496241,0.9728243335611758,,,,,,
atr_breakout,0,train,mfe_mae,,,,,,,,1.4115411764471577,0.9606050077006926,2.786635446631106,1.6591396897138269,0.4471881103917561,0.5223177550716777
atr_breakout,0,valid,trade_filter,0.595108695652174,0.676056338028169,0.6984126984126984,0.9166666666666666,0.7927927927927928,,,,,,,,
atr_breakout,0,valid,regime_classifier,,1.0,,,,1.0,1.0,,,,,,
atr_breakout,0,valid,mfe_mae,,,,,,,,4.066264919585505,1.4749345909384084,15.672700126529522,1.8780264091285581,-0.027008774429921223,0.026212766805985388
atr_breakout,0,test,trade_filter,0.6138443935926773,0.6557377049180327,0.6888888888888889,0.8157894736842105,0.7469879518072289,,,,,,,,
atr_breakout,0,test,regime_classifier,,0.9836065573770492,,,,0.66,0.9755737704918033,,,,,,
atr_breakout,0,test,mfe_mae,,,,,,,,1.6728099971134323,1.2023681948419698,2.016450050800711,1.5524689452458755,-0.07315624029946366,-0.0455379352233769
atr_breakout,1,train,trade_filter,1.0,1.0,1.0,1.0,1.0,,,,,,,,
atr_breakout,1,train,regime_classifier,,0.9872881355932204,,,,0.6621178971829768,0.9809820917342162,,,,,,
atr_breakout,1,train,mfe_mae,,,,,,,,2.3819424164204106,0.8867671960351566,7.452600390624783,1.489006130559186,0.328005955591103,0.5713267741722774
atr_breakout,1,valid,trade_filter,0.5800915331807781,0.5655737704918032,0.6385542168674698,0.6973684210526315,0.6666666666666666,,,,,,,,
atr_breakout,1,valid,regime_classifier,,0.9836065573770492,,,,0.66,0.9755737704918033,,,,,,
atr_breakout,1,valid,mfe_mae,,,,,,,,7.39277352871341,1.1936504021752585,9.952509484162126,1.5472535634229574,-25.142867288633944,-0.03852495074282514
atr_breakout,1,test,trade_filter,0.4285714285714286,0.46808510638297873,0.43103448275862066,0.5952380952380952,0.5,,,,,,,,
atr_breakout,1,test,regime_classifier,,0.9574468085106383,,,,0.6520634920634921,0.9366362715298886,,,,,,
atr_breakout,1,test,mfe_mae,,,,,,,,2.0431363484977925,1.855166817848071,2.829780868350162,2.617098986698563,-0.2157375871047298,-0.1791095642766185
breakout_pullback_continuation,0,train,trade_filter,1.0,1.0,1.0,1.0,1.0,,,,,,,,
breakout_pullback_continuation,0,train,regime_classifier,,0.9922480620155039,,,,0.663768115942029,0.9884057971014493,,,,,,
