exit_year,trades,net_pnl,win_rate,avg_pnl,profit_factor
2010,7,-276.96799999999985,0.5714285714285714,-39.566857142857124,0.8830333587705343
2011,8,-5761.185,0.0,-720.148125,0.0
2012,27,-9077.925,0.18518518518518517,-336.21944444444443,0.23393005651057233
2013,30,-9093.037,0.3,-303.10123333333337,0.39795461656956155
2014,33,-14215.308,0.24242424242424243,-430.7669090909091,0.1552182048166673
2015,46,-29949.333,0.021739130434782608,-651.0724565217391,0.009011348181243849
2016,36,-1618.547,0.5,-44.95963888888889,0.7746753595692604
2017,20,-1891.535,0.4,-94.57675,0.6119316052111604
2018,50,-17079.237,0.2,-341.58474,0.16231014968881718
2019,11,-6805.656,0.18181818181818182,-618.696,0.17235441317557734
